posting_id,posting_date,deal_ref,customer_id,amount_usd,memo
P-1026,2026-06-27,DEAL-027,CUST-07,"($28,000.00)",reversal of P-1025 - wrong entity
P-1027,2026-06-28,DEAL-027,CUST-18,"$28,000.00",June invoice re-posted to the correct entity (Corvid Manufacturing (UK) Ltd)
P-1028,2026-06-29,DEAL-028,CUST-10,"$30,000.00",June invoice
P-1029,2026-06-30,DEAL-029,CUST-03,"$45,000.00",June invoice
P-1030,2026-06-15,DEAL-030,CUST-06,"$12,500.00",June invoice - not on any partner report
P-1033,2026-06-21,DEAL-031,CUST-13,"$19,800.00",June invoice net of early-payment discount
P-1083,2026-06-01,DEAL-078,CUST-23,"$83,905.00",June invoice - partial
P-1096,2026-06-01,DEAL-090,CUST-39,"$79,500.00",June invoice
P-1034,2026-06-02,DEAL-032,CUST-45,"$106,500.00",June invoice
P-1073,2026-06-02,DEAL-069,CUST-30,"$94,500.00",June invoice
P-1072,2026-06-03,DEAL-068,CUST-20,"$113,000.00",June invoice
P-1075,2026-06-03,DEAL-071,CUST-19,"$101,885.00",June invoice - net of early-settlement discount
P-1085,2026-06-03,DEAL-080,CUST-32,"$57,500.00",June invoice
P-1094,2026-06-03,DEAL-088,CUST-50,"$98,500.00",June invoice
P-1065,2026-06-04,DEAL-060,CUST-30,"$16,000.00",June invoice
P-1095,2026-06-04,DEAL-089,CUST-48,"$12,000.00",June invoice
P-1099,2026-06-04,DEAL-093,CUST-39,"$35,500.00",June invoice
P-1100,2026-06-04,DEAL-094,CUST-40,"$92,000.00",June invoice
P-1116,2026-06-04,DEAL-108,CUST-41,"$72,000.00",June invoice
P-1054,2026-06-05,DEAL-051,CUST-20,"$8,000.00",June invoice
P-1055,2026-06-05,DEAL-051,CUST-20,"$8,000.00",June invoice
P-1071,2026-06-05,DEAL-067,CUST-32,"$29,000.00",June invoice
P-1079,2026-06-05,DEAL-074,CUST-20,"$24,500.00",June invoice
P-1101,2026-06-05,DEAL-095,CUST-41,"$48,500.00",June invoice
P-1102,2026-06-05,DEAL-096,CUST-34,"$105,500.00",June invoice
P-1103,2026-06-05,DEAL-096,CUST-34,"($105,500.00)",reversal of P-1102 - wrong entity
P-1135,2026-06-05,DEAL-127,CUST-57,"$77,500.00",June invoice
P-1138,2026-06-05,DEAL-130,CUST-22,"$5,000.00",June invoice
P-1040,2026-06-06,DEAL-037,CUST-57,"$61,500.00",June invoice
P-1104,2026-06-06,DEAL-096,CUST-25,"$105,500.00",June invoice re-posted to the correct entity
P-1118,2026-06-06,DEAL-110,CUST-19,"$24,000.00",June invoice
P-1136,2026-06-06,DEAL-128,CUST-52,"$66,500.00",June invoice
P-1051,2026-06-07,DEAL-048,CUST-27,"$116,500.00",June invoice
P-1056,2026-06-07,DEAL-051,CUST-20,"($8,000.00)",reversal of P-1055 - posted twice in error
P-1081,2026-06-07,DEAL-076,CUST-48,"$97,500.00",June invoice
P-1082,2026-06-07,DEAL-077,CUST-30,"$38,500.00",June invoice
P-1087,2026-06-07,DEAL-082,CUST-40,"$75,000.00",June invoice
P-1110,2026-06-07,deal-102,cust-28,"$80,500.00",June invoice
P-1036,2026-06-08,DEAL-034,CUST-30,"$93,500.00",June invoice
P-1041,2026-06-08,DEAL-038,CUST-51,"$14,000.00",June invoice
P-1050,2026-06-08,DEAL-047,CUST-28,"$44,500.00",June invoice
P-1097,2026-06-08,DEAL-091,CUST-23,"$66,500.00",June invoice
P-1105,2026-06-08,DEAL-097,CUST-23,"$104,000.00",June invoice
P-1134,2026-06-08,DEAL-126,CUST-33,"$94,500.00",June invoice
P-1096,2026-06-01,DEAL-090,CUST-39,"$79,500.00",June invoice
P-1064,2026-06-09,DEAL-059,CUST-57,"$46,000.00",June invoice
P-1121,2026-06-09,DEAL-113,CUST-28,"$66,500.00",June invoice
P-1132,2026-06-09,DEAL-124,CUST-40,"$36,500.00",June invoice
P-1139,2026-06-09,DEAL-131,CUST-45,"$11,500.00",June invoice
P-1080,2026-06-10,DEAL-075,CUST-36,"$112,500.00",June invoice
P-1037,2026-06-11,DEAL-035,CUST-36,"$80,500.00",June invoice
P-1070,2026-06-11,DEAL-066,CUST-31,"$65,500.00",June invoice - billed to Marrow Logistics
P-1133,2026-06-11,DEAL-125,CUST-44,"$87,000.00",June invoice
P-1076,2026-06-12,DEAL-072,CUST-55,"$104,000.00",June invoice
P-1120,2026-06-12,DEAL-112,CUST-41,"$5,000.00",June invoice
P-1089,2026-06-13,DEAL-084,CUST-34,"$12,600.00",June invoice part 1
P-1114,2026-06-13,DEAL-106,CUST-36,"$31,500.00",June invoice
P-1038,2026-06-14,DEAL-036,CUST-35,"$95,000.00",June invoice
P-1049,2026-06-14,DEAL-046,CUST-51,"$62,000.00",June invoice
P-1062,2026-06-14,DEAL-057 ,CUST-57,"$23,000.00",June invoice
P-1067,2026-06-14,DEAL-062,CUST-45,"$6,500.00",June invoice
P-1125,2026-06-14,DEAL-117,CUST-26,"$38,000.00",June invoice
P-1068,2026-06-15,DEAL-064,CUST-43,"$95,500.00",June invoice
P-1059,2026-06-16,DEAL-054,CUST-36,"$52,500.00",June invoice
P-1090,2026-06-16,DEAL-084,CUST-34,"$8,400.00",June invoice part 2
P-1047,2026-06-17,DEAL-044,CUST-19,"$70,000.00",June invoice
P-1043,2026-06-18,DEAL-040,CUST-22,"$45,000.00",June invoice
P-1106,2026-06-18,DEAL-098,CUST-41,"$107,500.00",June invoice
P-1046,2026-06-19,DEAL-043,CUST-53,"$100,000.00",June invoice
P-1077,2026-06-19,DEAL-073,CUST-32,"$93,500.00",June invoice
P-1119,2026-06-19,DEAL-111,CUST-44,"$35,500.00",June invoice
P-1130,2026-06-19,DEAL-122,CUST-54,"$65,000.00",June invoice
P-1131,2026-06-19,DEAL-123,CUST-54,"$95,000.00",June invoice
P-1035,2026-06-20,DEAL-033,CUST-20,"$111,500.00",June invoice
P-1053,2026-06-20,DEAL-050,CUST-57,"$78,500.00",June invoice
P-1066,2026-06-20,DEAL-061,CUST-47,"$80,000.00",June invoice
P-1108,2026-06-20,DEAL-100,CUST-33,"$59,500.00",June invoice
P-1123,2026-06-21,DEAL-115,CUST-46,"$31,500.00",June invoice
P-1084,2026-06-22,DEAL-079,CUST-25,"$77,500.00",June invoice
P-1109,2026-06-22,DEAL-101,CUST-36,"$52,000.00",June invoice
P-1113,2026-06-22,DEAL-105,CUST-40,"$13,500.00",June invoice
P-1045,2026-06-23,DEAL-042,CUST-39,"$80,000.00",June invoice
P-1057,2026-06-23,DEAL-052,CUST-39,"$16,500.00",June invoice
P-1111,2026-06-23,DEAL-103,CUST-49,"$98,000.00",June invoice
P-1069,2026-06-25,DEAL-065,CUST-37,"$22,500.00",June invoice
P-1074,2026-06-25,DEAL-070,CUST-55,"$89,500.00",June invoice
P-1086,2026-06-25,DEAL-081,CUST-27,"$96,000.00",June invoice
P-1107,2026-06-25,DEAL-099,CUST-23,"$97,500.00",June invoice
P-1115,2026-06-25,DEAL-107,CUST-21,"$117,000.00",June invoice
P-1122,2026-06-25,DEAL-114,CUST-42,"$117,500.00",June invoice
P-1128,2026-06-25,DEAL-120,CUST-58,"$33,500.00",June invoice
P-1042,2026-06-26,DEAL-039,CUST-27,"$41,000.00",June invoice
P-1048,2026-06-26,DEAL-045,CUST-30,"$107,000.00",June invoice
P-1052,2026-06-26,DEAL-049,CUST-51,"$88,000.00",June invoice
P-1061,2026-06-26,DEAL-056,CUST-26,"$55,500.00",June invoice
P-1117,2026-06-26,DEAL-109,CUST-39,"$113,000.00",June invoice
P-1126,2026-06-26,DEAL-118,CUST-38,"$17,500.00",June invoice
P-1063,2026-06-27,DEAL-058,CUST-42,"$81,000.00",June invoice
P-1092,2026-06-27,DEAL-086,CUST-26,"$103,000.00",June invoice
P-1093,2026-06-27,DEAL-087,CUST-58,"$63,500.00",June invoice
P-1044,2026-06-28,DEAL-041,CUST-43,"$12,000.00",June invoice
P-1058,2026-06-28,DEAL-053,CUST-26,"$28,000.00",June invoice
P-1088,2026-06-29,DEAL-083,CUST-50,"$48,000.00",June invoice
P-1112,2026-06-29,DEAL-104,CUST-49,"$33,000.00",June invoice
P-1127,2026-06-29,DEAL-119,CUST-27,"$83,500.00",June invoice
P-1091,2026-06-30,DEAL-085,CUST-40,"$70,500.00",June invoice
P-1098,2026-06-30,DEAL-092,CUST-50,"$93,500.00",June invoice
P-1124,2026-06-30,DEAL-116,CUST-51,"$72,000.00",June invoice
P-1129,2026-06-30,DEAL-121,CUST-50,"$111,000.00",June invoice
P-1137,2026-06-30,DEAL-129,CUST-35,"$45,500.00",June invoice
P-1078,2026-07-02,DEAL-073,CUST-32,"($93,500.00)",credit note against P-1077 - issued July
P-1060,2026-07-03,DEAL-055,CUST-52,"$19,000.00",July invoice
P-1039,2026-07-07,DEAL-036,CUST-35,"($95,000.00)",credit note against P-1038 - issued July
